Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
https://nocensor.casa/,HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.11.95', '203.50.61.80', '61.9.173.4', '139.130.34.250', '101.167.166.53', '58.162.26.77']",8,[],[],['74.63.241.28'],['74.63.241.28'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
http://nocensor.fun/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '203.50.11.95', '139.130.34.250', '61.9.173.4', '203.50.61.80', '101.167.166.53', '58.162.26.77']",8,[],[],['185.53.178.53'],['185.53.178.53'],[],[],[412],[412],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://unblockproject.icu/,HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1108)'))),10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.11.177', '139.130.6.102', '203.50.61.64', '61.9.172.4', '101.167.164.53']",8,[],[],['199.59.243.223'],['199.59.243.223'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://unblockproject.info/,HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1108)'))),10.18.0.1,['27.120.126.173'],[200],"['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.6.61', '203.50.61.80', '203.50.13.146', '203.50.13.90', '218.43.253.197', '202.84.140.221', '202.84.140.221', '203.50.13.90', '134.159.125.38', '202.47.216.254', '106.139.192.42', '27.85.128.173', '211.6.13.174', '219.99.124.157', '202.216.248.156', '27.120.127.251', '60.37.54.166', '27.120.126.173']",21,[],[],['27.120.126.173'],['27.120.126.173'],[],[],[200],[200],N/A,[],[],['False'],['False'],N/A,[],[],['False'],['False'],['False'],['False']
http://123unblock.space/,200,10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.11.177', '203.50.61.64', '139.130.6.102', '61.9.172.4', '101.167.164.53']",8,[],[],['185.53.177.13'],['185.53.177.13'],[],[],[412],[412],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
https://123unblock.fun/,200,10.18.0.1,['103.224.182.250'],[200],"['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.6.61', '203.50.13.146', '203.50.13.90', '203.50.13.90', '202.84.247.17', '202.84.141.25', '64.125.13.77', '103.224.182.250']",12,[],[],['103.224.182.250'],['103.224.182.250'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],['False'],['False']
http://unbl0ck.online/,200,10.18.0.1,"['101.167.164.53', '101.167.166.53']","[200, 200]","['10.0.0.138', '203.50.61.81', '58.162.26.77', '203.50.11.95', '139.130.34.250', '203.50.61.80', '61.9.173.4', '101.167.166.53']",8,[],[],['81.171.28.46'],['192.157.56.140'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
http://123unblock.icu/,200,10.18.0.1,"['101.167.166.53', '101.167.164.53']","[200, 200]","['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.11.177', '139.130.6.102', '203.50.61.64', '61.9.172.4', '101.167.164.53']",8,[],[],['185.53.178.52'],['185.53.178.52'],[],[],[412],[412],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],"['False', 'False']","['False', 'False']"
http://prox4you.club/,200,10.18.0.1,['69.162.95.2'],[200],"['10.0.0.138', '58.162.26.77', '203.50.61.65', '203.50.61.64', '203.50.13.144', '203.50.6.93', '203.50.13.98', '5.53.0.199']",8,[],[],['74.63.241.19'],['82.192.82.227'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],['False'],['False']
https://prox4you.pro/,200,10.18.0.1,['103.224.212.222'],[200],"['10.0.0.138', '58.162.26.77', '203.50.61.81', '203.50.61.80', '203.50.13.146', '203.50.13.90', '203.50.6.61', '202.84.247.17', '203.50.13.90', '64.125.13.77', '202.84.141.25', '64.125.30.75', '103.224.213.212', '128.177.170.94', '103.224.212.222']",15,[],[],['103.224.212.222'],['103.224.212.222'],[],[],[200],[200],FALSE,[],[],['False'],['False'],FALSE,[],[],['False'],['False'],['False'],['False']
