Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,AARC Blockpage,Optus Blockpage,Google Blockpage,Cloudflare Blockpage,Domain Cloudflare IP Blocked,AARC Cloudflare IP Blocked,Optus Cloudflare IP Blocked,Google Cloudflare IP Blocked,Cloudflare Cloudflare IP Blocked,Default DNS Block Page,Default DNS Cloudflare Block Page
https://www.imovies.cc,200,10.127.5.17,"['104.21.192.116', '104.21.192.117']","[403, 403]","['10.126.192.2', '10.127.1.5', '10.10.254.61', '138.44.5.105', '202.158.194.177', '198.32.176.70', '195.22.206.0', '172.70.36.2', '104.21.192.117', '195.22.206.73', '104.21.192.117']",11,"['104.21.192.117', '104.21.192.116']",[],"['104.21.192.116', '104.21.192.117']","['104.21.192.116', '104.21.192.117']","[403, 403]",[],"[403, 403]","[403, 403]",FALSE,"['False', 'False']",[],"['False', 'False']","['False', 'False']",FALSE,"['True', 'True']",[],"['1', 'True']","['2', 'True']","['3', 'False']","['4', 'True']"
http://www.anime-sharing.com/,200,10.127.5.17,"['172.67.131.154', '104.21.4.33']","[403, 403]","['10.127.1.5', '138.44.5.105', '10.126.192.2', '10.10.254.61', '198.32.176.171', '104.21.4.33', '202.158.194.177', '104.21.4.33']",8,"['104.21.4.33', '172.67.131.154']",[],"['104.21.4.33', '172.67.131.154']","['104.21.4.33', '172.67.131.154']","[403, 403]",[],"[403, 403]","[403, 403]",FALSE,"['False', 'False']",[],"['False', 'False']","['False', 'False']",FALSE,"['True', 'True']",[],"['True', 'True']","['True', 'True']","['False', 'False']","['True', 'True']"
https://www.stockspot.com.au/,403,10.127.5.17,"['x','y']","[200, 200]","['10.126.192.2', '10.10.254.61', '10.127.1.5', '113.197.15.5', '52.95.219.52', '138.44.5.105', '52.95.36.57', '52.95.38.210', '54.79.28.199']",9,"['54.79.28.199', '54.79.22.194']",[],"['104.21.4.33', '172.67.131.154']","['104.21.4.33', '172.67.131.154']","[200, 200]",[],"[200, 200]","[200, 200]",FALSE,"['False', 'False']",[],"['False', 'False']","['False', 'False']",FALSE,"['False', 'False']",[],"['False', 'False']","['False', 'False']","['False', 'False']","['False', 'False']"
