Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes
"http://prox4you.info/","404","10.127.5.17","['67.227.226.240']","[404]","['10.126.192.2', '10.10.254.61', '10.127.1.5', '137.111.189.12', '138.44.5.105', '113.197.15.143', '202.158.194.121', '64.125.193.129', '64.125.29.0', '208.115.136.138', '209.59.157.223', '209.59.157.156', '67.227.226.240']","13","['67.227.226.240']","[]","['67.227.226.240']","['67.227.226.240']","[404]","[]","[404]","[404]"
"https://unblocked.to/","403","10.127.5.17","['172.67.149.130'; '104.21.33.203']","[403, 403]","['10.127.1.5', '10.10.254.61', '138.44.5.105', '10.126.192.2', '202.158.194.177', '198.32.176.171', '172.67.149.130']","7","['172.67.149.130', '104.21.33.203']","[]","['172.67.149.130', '104.21.33.203']","['172.67.149.130', '104.21.33.203']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://prostylex.org/","503","10.127.5.17","['172.67.223.35'; '104.21.46.35']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.7']","3","['172.67.223.35', '104.21.46.35']","[]","['104.21.46.35', '172.67.223.35']","['172.67.223.35', '104.21.46.35']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://torrents.io","HTTPSConnectionPool(host='torrents.io', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000194E602D6C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","10.127.5.17","[Errno 11001] getaddrinfo failed","[""HTTPConnectionPool(host='errno11001getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000194E609BC48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","['[Errno 11001] getaddrinfo failed']","1","[]","[]","[]","[]","[]","[]","[]","[]"
"https://katcr.co/","HTTPSConnectionPool(host='katcr.co', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000194E6037708>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))","10.127.5.17","[Errno 11001] getaddrinfo failed","[""HTTPConnectionPool(host='errno11001getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000194E5FE7748>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","['[Errno 11001] getaddrinfo failed']","1","[]","[]","[]","[]","[]","[]","[]","[]"
"https://kikass.to/","200","10.127.5.17","['104.21.74.86'; '172.67.156.105']","[403, 403]","['10.127.1.7', '137.111.189.12', '138.44.5.105', '113.197.15.143', '10.10.254.61', '10.126.192.2', '202.158.194.177', '198.32.176.171', '104.21.74.86']","9","['104.21.74.86', '172.67.156.105']","[]","['172.67.156.105', '104.21.74.86']","['172.67.156.105', '104.21.74.86']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://kat.sx/","200","10.127.5.17","['172.67.177.245'; '104.21.67.160']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.7', '137.111.189.12', '138.44.5.105', '113.197.15.143', '202.158.194.177', '198.32.176.171', '172.67.177.245']","9","['172.67.177.245', '104.21.67.160']","[]","['172.67.177.245', '104.21.67.160']","['104.21.67.160', '172.67.177.245']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://kickass.sx/","200","10.127.5.17","['172.67.181.31'; '104.21.67.208']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.171', '172.67.181.31']","7","['172.67.181.31', '104.21.67.208']","[]","['104.21.67.208', '172.67.181.31']","['172.67.181.31', '104.21.67.208']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://kickass1.to/","200","10.127.5.17","['172.67.134.16'; '104.21.25.110']","[403, 403]","['10.126.192.2', '10.10.254.61', '10.127.1.4', '172.67.134.16']","4","['172.67.134.16', '104.21.25.110']","[]","['104.21.25.110', '172.67.134.16']","['172.67.134.16', '104.21.25.110']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://kat.ag","HTTPSConnectionPool(host='kat.ag', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)')))","10.127.5.17","['185.107.56.54']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.126.192.2', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.70', '185.107.56.54', '195.22.209.209', '185.107.56.54', '79.140.91.57', '185.107.56.54']","11","['185.107.56.54']","[]","['96.47.230.69']","['162.210.199.87']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]"
"https://ibit.to","200","10.127.5.17","['172.67.183.74'; '104.21.18.193']","[403, 403]","['10.126.192.2', '10.127.1.7', '137.111.189.12', '138.44.5.105', '113.197.15.143', '10.10.254.61', '202.158.194.177', '172.67.183.74', '198.32.176.171', '172.67.183.74']","10","['172.67.183.74', '104.21.18.193']","[]","['172.67.183.74', '104.21.18.193']","['104.21.18.193', '172.67.183.74']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://onionplay.eu","200","10.127.5.17","['104.21.82.243'; '172.67.209.138']","[403, 403]","['10.126.192.3', '10.127.1.5', '138.44.5.105', '137.111.189.12', '113.197.15.143', '10.10.254.61', '202.158.194.177', '198.32.176.171', '104.21.82.243']","9","['104.21.82.243', '172.67.209.138']","[]","['172.67.209.138', '104.21.82.243']","['172.67.209.138', '104.21.82.243']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://onionplay-network.xyz/","HTTPSConnectionPool(host='onionplay-network.xyz', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000194E60B6F88>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))","10.127.5.17","[Errno 11002] getaddrinfo failed","[""HTTPConnectionPool(host='errno11002getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000194E60B6E08>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","['[Errno 11002] getaddrinfo failed']","1","[]","[]","[]","[]","[]","[]","[]","[]"
"https://onionplay-network.xyz/","HTTPSConnectionPool(host='onionplay-network.xyz'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000185C4A73EC8>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))","10.127.5.17","[Errno 11002] getaddrinfo failed","[""HTTPConnectionPool(host='errno11002getaddrinfofailed'; port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000185C4A87A08>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))""]","['[Errno 11002] getaddrinfo failed']","1","[]","[]","[]","[]","[]","[]","[]","[]"
"https://onionplay.co/","200","10.127.5.17","['172.67.218.103'; '104.21.94.21']","[403, 403]","['10.127.1.7', '137.111.189.12', '138.44.5.105', '10.10.254.61', '113.197.15.143', '202.158.194.177', '198.32.176.171', '172.67.218.103']","8","['172.67.218.103', '104.21.94.21']","[]","['104.21.94.21', '172.67.218.103']","['104.21.94.21', '172.67.218.103']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://www.stockspot.com.au/","200","10.127.5.17","['54.79.22.194'; '54.79.28.199']","[200, 200]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '113.197.15.5', '52.95.219.52', '52.95.36.57', '54.79.28.199']","8","['54.79.28.199', '54.79.22.194']","[]","['54.79.22.194', '54.79.28.199']","['54.79.28.199', '54.79.22.194']","[200, 200]","[]","[200, 200]","[200, 200]"
"https://animehd47.com/","200","10.127.5.17","['172.67.157.164'; '104.21.8.182']","[403, 403]","['10.126.192.2', '10.10.254.61', '10.127.1.7']","3","['172.67.157.164', '104.21.8.182']","[]","['104.21.8.182', '172.67.157.164']","['104.21.8.182', '172.67.157.164']","[403, 403]","[]","[403, 403]","[403, 403]"
"https://www.imovies.cc","200","10.127.5.17","['172.67.74.207'; '104.26.9.50'; '104.26.8.50']","[403, 403, 403]","['10.126.192.3', '10.127.1.7', '113.197.15.143', '10.10.254.61', '202.158.194.177', '198.32.176.171', '172.67.74.207']","7","['104.26.9.50', '172.67.74.207', '104.26.8.50']","[]","['104.26.9.50', '104.26.8.50', '172.67.74.207']","['104.26.9.50', '172.67.74.207', '104.26.8.50']","[403, 403, 403]","[]","[403, 403, 403]","[403, 403, 403]"
"https://lookmovie.ag/","200","10.127.5.17","['185.221.202.171'; '5.182.209.79']","[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5']","3","['185.221.202.171', '5.182.209.79']","[]","['185.221.202.171', '5.182.209.79']","['5.182.209.79', '185.221.202.171']","[403, 403]","[]","[403, 403]","[403, 403]"
"http://unblockproject.pw/","200","10.127.5.17","['192.157.56.140']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.126.192.2', '10.10.254.61', '10.127.1.5', '138.44.5.105', '113.197.15.3', '113.197.15.45', '113.197.15.247', '202.126.129.213', '202.84.225.238', '202.84.219.174', '89.149.185.197', '78.152.57.87', '183.182.80.169', '192.227.179.162', '192.157.56.140']","15","['192.157.56.140']","[]","['192.157.56.140']","['5.79.68.108']","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[]","[429]","[429]"
