Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,Domain Blockpage,DNS Resolved IP Blockpages,Google DNS Ips,Optus DNS Ip Blockpages,Google DNS Ip Blockpages,Cloudflare DNS Ip Blockpages
https://www.stockspot.com.au/,200,10.127.5.17,['54.79.28.199'; '54.79.22.194'],"[200, 200]","['10.10.254.61', '10.127.1.7', '113.197.15.109', '150.222.112.163', '52.95.36.34', '150.222.112.164', '54.79.22.194']",7,"['54.79.22.194', '54.79.28.199']",[],"['54.79.28.199', '54.79.22.194']","['54.79.22.194', '54.79.28.199']","[200, 200]",[],"[200, 200]","[200, 200]",,,,,,
http://www.anime-sharing.com/,200,10.127.5.17,['104.21.4.33'; '172.67.131.154'],"[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '137.111.189.12', '138.44.5.105', '113.197.15.143', '202.158.194.177', '172.67.131.154', '198.32.176.171', '172.67.131.154']",10,"['104.21.4.33', '172.67.131.154']",[],"['104.21.4.33', '172.67.131.154']","['104.21.4.33', '172.67.131.154']","[403, 403]",[],"[403, 403]","[403, 403]",,,,,,
https://www.imovies.cc,200,10.127.5.17,['104.26.8.50'; '172.67.74.207'; '104.26.9.50'],"[403, 403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.171', '104.26.9.50']",7,"['172.67.74.207', '104.26.9.50', '104.26.8.50']",[],"['172.67.74.207', '104.26.8.50', '104.26.9.50']","['104.26.8.50', '104.26.9.50', '172.67.74.207']","[403, 403, 403]",[],"[403, 403, 403]","[403, 403, 403]",,,,,,
http://animereborn.io/,522,10.127.5.17,['104.21.64.241'; '172.67.138.44'],"[403, 403]","['10.126.192.2', '10.10.254.61', '10.127.1.7', '113.197.15.143', '202.158.194.177', '198.32.176.171', '104.21.64.241']",7,"['172.67.138.44', '104.21.64.241']",[],"['172.67.138.44', '104.21.64.241']","['172.67.138.44', '104.21.64.241']","[403, 403]",[],"[403, 403]","[403, 403]",,,,,,
http://unblockproject.pw/,200,10.127.5.17,['185.107.56.53'],"[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","['10.126.192.2', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.70', '195.22.209.209', '185.107.56.53', '79.140.91.57', '185.107.56.53']",10,['185.107.56.53'],[],['37.48.65.136'],['37.48.65.152'],"[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]",[],"[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]","[""('Connection aborted.'; ConnectionResetError(10054; 'An existing connection was forcibly closed by the remote host'; None; 10054; None))""]",,,,,,
https://animelon.com/,200,10.127.5.17,['104.21.78.122'; '172.67.220.248'],"[403, 403]","['10.126.192.3', '10.10.254.61', '10.127.1.5', '138.44.5.105', '202.158.194.177', '198.32.176.171', '104.21.78.122']",7,"['172.67.220.248', '104.21.78.122']",[],"['172.67.220.248', '104.21.78.122']","['104.21.78.122', '172.67.220.248']","[403, 403]",[],"[403, 403]","[403, 403]",,,,,,
