Domain,Response Code,DNS Server,DNS Resolved Ips,DNS IP Response Codes,Traceroute to domain,Number of hops to domain,AARC DNS Ips,Optus DNS Ips,Google DNS Ips,Cloudflare DNS Ips,AARC DNS Response Codes,Optus DNS Response Codes,Google DNS Response Codes,Cloudflare DNS Response Codes,
http://nocensor.fun/,200,['103.224.182.208'],Failed to parse: http://[,12,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '137.111.189.12'; '138.44.5.105'; '113.197.15.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],103.224.182.208,103.224.182.208,,103.224.182.208,103.224.182.208,200,200,NaN,200,200
https://unblockproject.icu/,HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000231C7400648>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),[Errno 11001] getaddrinfo failed,Failed to parse: http://[,1,['[Errno 11001] getaddrinfo failed'],,,,,,NaN,NaN,NaN,NaN,NaN
https://unblockproject.info/,HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['67.227.226.240'],Failed to parse: http://[,12,['10.126.192.2'; '10.127.1.7'; '10.10.254.61'; '138.44.5.105'; '202.158.194.121'; '64.125.193.129'; '64.125.29.104'; '208.115.136.138'; '209.59.157.226'; '67.227.226.240'; '69.167.128.153'; '67.227.226.240'],67.227.226.240,67.227.226.240,,67.227.226.240,67.227.226.240,404,404,NaN,404,404
http://unblockproject.pw/,HTTPSConnectionPool(host='unblockproject.pw'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000014A3FDCD208>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time; or established connection failed because connected host has failed to respond')),['185.107.56.195'],Failed to parse: http://[,4,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '185.107.56.195'],185.107.56.195,185.107.56.195,,37.48.65.155,185.107.56.55,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",NaN,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
https://katcr.to/,200,['104.21.64.163'; '172.67.152.196'],Failed to parse: http://[,7,['10.127.1.5'; '113.197.15.153'; '10.10.254.61'; '10.126.192.3'; '202.158.194.173'; '198.32.146.195'; '104.21.64.163'],172.67.152.196,104.21.64.163,,172.67.152.196,172.67.152.196,403,403,NaN,403,403
https://katcr.to/,200,name 'IPaddressString' is not defined,"HTTPConnectionPool(host='nan', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001D2CEC32188>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",8,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '113.197.15.5'; '202.158.194.173'; '198.32.146.195'; '172.67.152.196'],104.21.64.163,172.67.152.196,,104.21.64.163,172.67.152.196,403,403,NaN,403,403
https://katcr.to/,200,['172.67.152.196'; '104.21.64.163'],403,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.7'; '138.44.5.105'; '113.197.15.5'; '202.158.194.173'; '172.67.152.196'; '198.32.146.195'; '172.67.152.196'],104.21.64.163,172.67.152.196,,172.67.152.196,172.67.152.196,403,403,NaN,403,403
http://unblockproject.pw/,HTTPSConnectionPool(host='unblockproject.pw'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)'))),['37.48.65.155'],"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",13,['10.10.254.61'; '10.127.1.5'; '113.197.15.143'; '10.126.192.3'; '202.158.194.121'; '64.125.193.129'; '64.125.29.119'; '64.125.29.0'; '64.125.30.27'; '94.31.36.202'; '81.17.34.17'; '81.17.33.141'; '37.48.65.155'],37.48.65.155,37.48.65.155,,199.115.116.216,37.48.65.136,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",NaN,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))","('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
http://nocensor.surf/,HTTPSConnectionPool(host='nocensor.surf'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1; '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)'))),['72.52.178.23'],404,10,['10.126.192.3'; '10.10.254.61'; '10.127.1.4'; '202.158.194.121'; '64.125.193.129'; '64.125.29.0'; '208.115.136.138'; '209.59.157.223'; '209.59.157.156'; '72.52.178.23'],72.52.178.23,72.52.178.23,,72.52.178.23,72.52.178.23,404,404,NaN,404,404
https://nocensor.casa/,"HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'nocensor.casa' doesn't match either of '*.parkingcrew.net'; 'parkingcrew.net'"")))",['185.53.177.73'],412,23,['10.10.254.61'; '10.127.1.5'; '138.44.5.105'; '113.197.15.143'; '10.126.192.3'; '202.158.194.121'; '198.104.202.61'; '154.54.11.9'; '154.54.2.198'; '154.54.41.146'; '154.54.5.90'; '154.54.42.166'; '154.54.41.206'; '154.54.6.222'; '154.54.31.226'; '154.54.44.161'; '130.117.0.122'; '154.54.36.54'; '149.6.156.195'; '154.54.77.245'; '154.54.56.222'; '154.25.8.22'; '185.53.177.73'],185.53.177.73,185.53.177.73,,185.53.177.73,185.53.177.73,412,412,NaN,412,412
http://nocensor.fun/,200,['103.224.182.208'],200,9,['10.126.192.2'; '10.10.254.61'; '10.127.1.5'; '113.197.15.153'; '202.158.194.173'; '64.124.200.233'; '128.177.170.94'; '103.224.213.253'; '103.224.182.208'],103.224.182.208,103.224.182.208,,103.224.182.208,103.224.182.208,200,200,NaN,200,200
https://unblockproject.icu/,HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BFE0099988>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed')),[Errno 11001] getaddrinfo failed,"HTTPConnectionPool(host='nan', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BFE007D8C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",1,['[Errno 11001] getaddrinfo failed'],,,,,,NaN,NaN,NaN,NaN,NaN
https://katcr.to/,200,['104.21.64.163'; '172.67.152.196'],[403; 403],8,['10.126.192.3'; '10.10.254.61'; '10.127.1.5'; '113.197.15.5'; '113.197.15.153'; '202.158.194.173'; '198.32.146.195'; '104.21.64.163'],172.67.152.196,104.21.64.163,,104.21.64.163,104.21.64.163,403,403,NaN,403,403
